id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95,beta_CI,OR_CI,effect_direction,egger_intercept,egger_intercept_se,egger_intercept_pval,Q,Q_df,Q_pval,snp_r2.exposure,snp_r2.outcome,correct_causal_direction,steiger_pval,Fst,total_r2,effect,pair
ukb-d-30760_irnt,met-c-887,Cholesterol esters in large VLDL,HDL cholesterol,Inverse variance weighted,250,-0.4792991700305338,0.03792135288005607,1.2819806753973653e-36,-0.5536250216754437,-0.4049733183856239,0.6192172057488766,0.5748621410216862,0.6669946071139549,-0.48 [-0.55:-0.4],0.62 [0.57:0.67],negative,0.004831316570825458,0.0019471995448518684,0.013759249045655536,628.6853234913183,249,9.921844428980007e-35,0.0859393371365669,0.05426618440063356,TRUE,3.820313759397659e-18,186.49395203192284,0.11641777525417625,term trait as mediator,met-c-887
met-c-887,ukb-d-30760_irnt,HDL cholesterol,Cholesterol esters in large VLDL,Inverse variance weighted,12,-0.6435240937090257,0.19107502629965475,7.57394511625521e-4,-1.018031145256349,-0.2690170421617024,0.525437466570404,0.36130559859361006,0.7641302331062388,-0.64 [-1.02:-0.27],0.53 [0.36:0.76],negative,0.020089198302215807,0.05764529239660303,0.7346926261320366,7103.982362829836,11,0,0.04154318433727714,0.016329554254610416,TRUE,8.764417368056216e-26,69.97993272180987,0.04244046154729363,term trait as confounder,met-c-887
ukb-d-30760_irnt,prot-a-1444,Insulin-like growth factor 1 receptor,HDL cholesterol,Inverse variance weighted,263,0.036405759682925955,0.05933225667770717,0.5394853986351711,-0.07988546340538008,0.152696982771232,1.037076564988029,0.9232220830446317,1.1649719188913452,0.04 [-0.08:0.15],1.04 [0.92:1.16],overlaps null,2.718184060744423e-6,0.0031344854808398903,0.9993087476576455,334.80934910554174,262,0.001564908362705632,0.08819603401364717,0.10277237200258196,FALSE,0.13578827001264962,182.70853908008087,0.11867450852494654,term trait as mediator,prot-a-1444
prot-a-1444,ukb-d-30760_irnt,HDL cholesterol,Insulin-like growth factor 1 receptor,Wald ratio,1,-0.10227168425883432,0.013551170261587885,4.4514581036643453e-14,-0.12883197797154658,-0.07571139054612207,0.9027842460787687,0.8791216649422605,0.9270837330820874,-0.1 [-0.13:-0.08],0.9 [0.88:0.93],negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,term trait as confounder,prot-a-1444
ukb-d-30760_irnt,prot-a-1390,Oxidoreductase HTATIP2,HDL cholesterol,Inverse variance weighted,263,-0.02819692710172227,0.05405480312673003,0.60192384686535,-0.13414434123011312,0.07775048702666859,0.9721968960319349,0.8744638343079018,1.080852938191761,-0.03 [-0.13:0.08],0.97 [0.87:1.08],overlaps null,0.00219179191250892,0.0028523503509441635,0.4429347309291696,277.90195860129256,262,0.23882487287429124,0.08819603401364717,0.0849884663026446,TRUE,0.7330116258943511,182.70853908008087,0.11867450852494654,term trait as mediator,prot-a-1390
prot-a-1390,ukb-d-30760_irnt,HDL cholesterol,Oxidoreductase HTATIP2,Wald ratio,1,-0.004402000298552022,0.004206150171667413,0.29530126681077895,-0.012646054635020151,0.003842054037916106,0.9956076743036889,0.9874335707116468,1.0038494441889534,0 [-0.01:0],1 [0.99:1],overlaps null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,term trait as confounder,prot-a-1390
ukb-d-30760_irnt,ukb-d-30630_irnt,Apoliprotein A,HDL cholesterol,Inverse variance weighted,269,0.8694009872531022,0.01576411369967495,0,0.8385033244017394,0.9002986501044651,2.38548149164304,2.3129027199313454,2.4603377815822784,0.87 [0.84:0.9],2.39 [2.31:2.46],positive,0.0011060090080583062,8.240120769858488e-4,0.18066346947917117,2789.3189658370948,268,0,0.08996584314035062,0.08052655680265938,TRUE,5.811493391443091e-14,182.37594984195675,0.12044444583491369,term trait as mediator,ukb-d-30630_irnt
ukb-d-30630_irnt,ukb-d-30760_irnt,HDL cholesterol,Apoliprotein A,Inverse variance weighted,242,0.9809263664814076,0.017109650104343822,0,0.9473914522768937,1.0144612806859215,2.6669256484942587,2.5789735018851814,2.7578772753568126,0.98 [0.95:1.01],2.67 [2.58:2.76],positive,-0.0010546220158164552,9.061380705830542e-4,0.24563461837841868,2688.570041259912,241,0,0.080628657034565,0.08341810339386109,FALSE,0.02416311538598556,167.37254197034073,0.10239127436855917,term trait as confounder,ukb-d-30630_irnt
ukb-d-30760_irnt,prot-a-908,Epidermal growth factor,HDL cholesterol,Inverse variance weighted,263,0.024527929517484264,0.05422120166639742,0.6510039893786677,-0.08174562574865467,0.1308014847836232,1.0248312137487914,0.9215063363696863,1.1397415028218254,0.02 [-0.08:0.13],1.02 [0.92:1.14],overlaps null,0.004706377295503041,0.0028493692665300906,0.09979298258111921,279.6155159640248,262,0.21713484355499604,0.08819603401364717,0.08545627913585112,TRUE,0.7710135625766914,182.70853908008087,0.11867450852494654,term trait as mediator,prot-a-908
prot-a-908,ukb-d-30760_irnt,HDL cholesterol,Epidermal growth factor,Wald ratio,1,-0.0010159005275056517,0.009077241899020346,0.9108889686454374,-0.018807294649585526,0.016775493594574226,0.9989846153247356,0.9813684589750173,1.0169169923168637,0 [-0.02:0.02],1 [0.98:1.02],overlaps null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,term trait as confounder,prot-a-908
ukb-d-30760_irnt,prot-a-1426,Interferon alpha/beta receptor 1,HDL cholesterol,Inverse variance weighted,263,-0.06616003558855797,0.05248665468168109,0.20748487613287134,-0.1690338787646529,0.03671380758753695,0.9359810620249513,0.8444802929522951,1.0373960834617661,-0.07 [-0.17:0.04],0.94 [0.84:1.04],overlaps null,0.0017512261672033389,0.002767430142535706,0.5274191260417362,251.79226930316153,262,0.6637169659185784,0.08819603401364717,0.07714558704836297,TRUE,0.2308501472930938,182.70853908008087,0.11867450852494654,term trait as mediator,prot-a-1426
prot-a-1426,ukb-d-30760_irnt,HDL cholesterol,Interferon alpha/beta receptor 1,Wald ratio,1,-0.0011042457714877459,0.011745253710735242,0.925096176432047,-0.02412494304452882,0.02191645150155333,0.9988963636835242,0.9761637372689679,1.0221583811049104,0 [-0.02:0.02],1 [0.98:1.02],overlaps null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,term trait as confounder,prot-a-1426
ukb-d-30760_irnt,ukb-d-30770_irnt,IGF-1,HDL cholesterol,Inverse variance weighted,269,0.014292156388948209,0.018299656179997494,0.43479848003613353,-0.021575169723846876,0.05015948250174329,1.0143947775658761,0.9786559094096854,1.051438769090561,0.01 [-0.02:0.05],1.01 [0.98:1.05],overlaps null,3.636805122484092e-4,9.587421896218929e-4,0.7047436827291411,3718.230434993071,268,0,0.08996584314035062,0.010542778393709783,TRUE,0,182.37594984195675,0.12044444583491369,term trait as mediator,ukb-d-30770_irnt
ukb-d-30770_irnt,ukb-d-30760_irnt,HDL cholesterol,IGF-1,Inverse variance weighted,355,0.020896272199852947,0.01709085526048129,0.22145886811394713,-0.012601804110690382,0.054394348510396276,1.021116128014358,0.9874772661316571,1.055900913016075,0.02 [-0.01:0.05],1.02 [0.99:1.06],overlaps null,4.346341737109775e-5,9.204526905610637e-4,0.9623649009418923,3744.5234881021593,354,0,0.094387994579514925,0.011180475673595288,TRUE,0,107.25156686850892,0.09835725066188797,term trait as confounder,ukb-d-30770_irnt
