id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95,beta_CI,OR_CI,effect_direction,egger_intercept,egger_intercept_se,egger_intercept_pval,Q,Q_df,Q_pval,snp_r2.exposure,snp_r2.outcome,correct_causal_direction,steiger_pval,Fst,total_r2
prot-a-710,ukb-d-1418_3,Milk type used: Skimmed,Cardiotrophin-1,Inverse variance weighted,3,0.005930711240917757,0.0014506967864231324,4.3476862004262005e-5,0.0030873455395284176,0.008774076942307096,1.0059483327275887,1.0030921162991664,1.0088126819806573,0.01 [0:0.01],1.01 [1:1.01],positive,0.018080329466665546,0.012588201329803463,0.387189760731931,2.083910809872479,2,0.3527642102248672,0.23744231171749375,5.403971776571784e-5,TRUE,5.259226860594964e-198,313.52893370346015,0.22196283999749983
prot-a-710,ukb-d-1418_3,Milk type used: Skimmed,Cardiotrophin-1,MR Egger,3,-0.01680229133737647,0.015891243982527305,0.4822643621379636,-0.04794912954312999,0.014344546868377047,0.9833380798741438,0.9531822746619939,1.0144479235867636,-0.02 [-0.05:0.01],0.98 [0.95:1.01],overlaps null,0.018080329466665546,0.012588201329803463,0.387189760731931,0.020976875956475016,1,0.884841968745964,0.23744231171749375,5.403971776571784e-5,TRUE,5.259226860594964e-198,313.52893370346015,0.22196283999749983
prot-a-710,ukb-d-1418_3,Milk type used: Skimmed,Cardiotrophin-1,Weighted median,3,0.005677450535463327,0.001558623437442296,2.698921503377928e-4,0.002622548598076427,0.008732352472850227,1.0056935978017265,1.0026259904868335,1.008770590684845,0.01 [0:0.01],1.01 [1:1.01],positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prot-a-710,prot-a-305,Complement C1q tumor necrosis factor-related protein 5,Cardiotrophin-1,Inverse variance weighted,3,-0.11594429100950676,0.036960080628630286,0.0017067796708359478,-0.18838604904162212,-0.0435025329773914,0.8905248321550386,0.8282948830569598,0.957430128939025,-0.12 [-0.19:-0.04],0.89 [0.83:0.96],negative,-0.32681088902105987,0.33128214265107137,0.5043252922194131,0.9959423262924906,2,0.60776246060699,0.23744231171749375,0.0032768782700461686,TRUE,5.791793500877273e-83,313.52893370346015,0.22196283999749983
prot-a-710,prot-a-305,Complement C1q tumor necrosis factor-related protein 5,Cardiotrophin-1,MR Egger,3,0.29469244611179396,0.4178925089977552,0.6089888832150812,-0.5243768715238062,1.1137617637473942,1.3427133384685532,0.5919240942307052,3.045794430187002,0.29 [-0.52:1.11],1.34 [0.59:3.05],overlaps null,-0.32681088902105987,0.33128214265107137,0.5043252922194131,0.02275379131161278,1,0.8800990928333783,0.23744231171749375,0.0032768782700461686,TRUE,5.791793500877273e-83,313.52893370346015,0.22196283999749983
prot-a-710,prot-a-305,Complement C1q tumor necrosis factor-related protein 5,Cardiotrophin-1,Weighted median,3,-0.11240373571339365,0.03754692664760677,0.0027562879672160426,-0.18599571194270292,-0.038811759484084385,0.893683372760181,0.8302771552503135,0.9619317666366817,-0.11 [-0.19:-0.04],0.89 [0.83:0.96],negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prot-a-710,prot-a-2891,Extracellular sulfatase Sulf-2,Cardiotrophin-1,Inverse variance weighted,3,-0.13231262732371515,0.03696008062863028,3.4375295946289207e-4,-0.20475438535583051,-0.05987086929159981,0.8760670697599205,0.8148474302966029,0.9418861521577939,-0.13 [-0.2:-0.06],0.88 [0.81:0.94],negative,-0.2973713412893591,0.33128214265107137,0.5343072693348192,1.7694959976197782,2,0.41281819084761656,0.23744231171749375,0.004418214449631171,TRUE,7.801563120620569e-80,313.52893370346015,0.22196283999749983
prot-a-710,prot-a-2891,Extracellular sulfatase Sulf-2,Cardiotrophin-1,MR Egger,3,0.2413334212098091,0.41789250899775515,0.6665946120293689,-0.577735896425791,1.0604027388454091,1.2729453915520839,0.5611674706076992,2.887533677101661,0.24 [-0.58:1.06],1.27 [0.56:2.89],overlaps null,-0.2973713412893591,0.33128214265107137,0.5343072693348192,0.9637425533164026,1,0.32624574199768264,0.23744231171749375,0.004418214449631171,TRUE,7.801563120620569e-80,313.52893370346015,0.22196283999749983
prot-a-710,prot-a-2891,Extracellular sulfatase Sulf-2,Cardiotrophin-1,Weighted median,3,-0.14040041751990812,0.03894301932796261,3.1181874554684876e-4,-0.2167287354027148,-0.0640720996371014,0.8690101988148988,0.8051483479268231,0.9379373721486481,-0.14 [-0.22:-0.06],0.87 [0.81:0.94],negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prot-a-710,prot-a-1506,Interleukin-21,Cardiotrophin-1,Inverse variance weighted,3,0.08735932331894732,0.036960080628630286,0.018097711491850237,0.014917565286831955,0.1598010813510627,1.0912887347669051,1.0150293875104006,1.173277461010408,0.09 [0.01:0.16],1.09 [1.02:1.17],positive,0.01282705530129743,0.33128214265107137,0.9753627532032789,0.565445071004285,2,0.7537288918574078,0.23744231171749375,0.0018626422190741146,TRUE,7.467568949196216e-88,313.52893370346015,0.22196283999749983
