id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95,OR_CI,effect_direction,egger_intercept,egger_intercept_se,egger_intercept_pval,Q,Q_df,Q_pval,snp_r2.exposure,snp_r2.outcome,correct_causal_direction,steiger_pval,Fst,total_r2
prot-a-70,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),RAC-alpha/beta/gamma serine/threonine-protein kinase,Wald ratio,1,-0.025224775224775224,0.02122877122877123,0.23474072223825299,-0.06683316683316684,0.016383616383616392,0.9750907111600161,0.9353512359293334,1.0165185637947667,0.98 [0.94:1.02],overlaps null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prot-a-70,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),RAC-alpha/beta/gamma serine/threonine-protein kinase,NO SENSITIVITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prot-a-71,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),RAC-alpha/beta/gamma serine/threonine-protein kinase,Wald ratio,1,-0.028252449305080883,0.019366598313966737,0.14461368473578445,-0.06621098200045569,0.00970608339029392,0.9721429190166441,0.935933378362903,1.0097533401867402,0.97 [0.94:1.01],overlaps null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prot-a-71,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),RAC-alpha/beta/gamma serine/threonine-protein kinase,NO SENSITIVITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prot-a-1736,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Leukemia inhibitory factor,Wald ratio,1,0.0398406374501992,0.03087649402390438,0.19693867995204567,-0.02067729083665338,0.10035856573705179,1.0406449211492856,0.9795350184962552,1.1055672655545221,1.04 [0.98:1.11],overlaps null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prot-a-1736,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Leukemia inhibitory factor,NO SENSITIVITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prot-a-1737,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Leukemia inhibitory factor receptor,Wald ratio,1,-0.1438584779706275,0.0260347129506008,3.282847540610213e-8,-0.19488651535380508,-0.09283044058744994,0.866010298922138,0.8229280424548123,0.9113480148300969,0.87 [0.82:0.91],negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prot-a-1737,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Leukemia inhibitory factor receptor,NO SENSITIVITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prot-a-1845,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Mitogen-activated protein kinase 1,Wald ratio,1,-0.02475544020762627,0.016969454981034138,0.14461368473578445,-0.05801557197045318,0.00850469155520064,0.9755484627866914,0.9436352530621094,1.0085409591865224,0.98 [0.94:1.01],overlaps null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prot-a-1845,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Mitogen-activated protein kinase 1,NO SENSITIVITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prot-a-2155,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Oncostatin-M,Inverse variance weighted,2,-0.019768281278337248,0.03563958249390827,0.5791189780948249,-0.08962186296639746,0.050085300409722956,0.9804258300075233,0.9142768418472009,1.0513607740559918,0.98 [0.91:1.05],overlaps null,NA,NA,NA,1.9541862101681209,1,0.16213646001901225,0.029769335154483156,7.610483966887964e-6,TRUE,1.371482199249715e-22,50.19263623468274,0.02953910884754471
prot-a-2869,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Signal transducer and activator of transcription 3,Inverse variance weighted,2,-0.021075289071328888,0.02436082637038696,0.38696727476550735,-0.06882250875728732,0.02667193061462955,0.9791452428582439,0.9334923520927368,1.0270308101213943,0.98 [0.93:1.03],overlaps null,NA,NA,NA,1.5854740527617888,1,0.20797395906923144,0.06526620014259461,1.0475464419943319e-5,TRUE,5.385533155782203e-49,112.13199893914997,0.06367041142100349
prot-a-3198,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Vascular endothelial growth factor A,Wald ratio,1,0.021671826625386997,0.017146939747558942,0.20626991040631296,-0.011936175279828529,0.05527982853060252,1.0219083663186752,0.988134778275058,1.056836306252761,1.02 [0.99:1.06],overlaps null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
